Dot Point Measurements

Generated: Monday 21 August 2023 13:46:53

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare									Radius %
PCB3_1_01_Left_MAH00163.MP4_0044687.jpg	      0		941	1342													Relief	Low / moderate	Moderate (1-3m)	2			82003004		64.2
PCB3_1_01_Left_MAH00163.MP4_0044687.jpg	      0		139	1724																					100.0
PCB3_1_01_Left_MAH00163.MP4_0044687.jpg	      0		406	1724																					89.9
PCB3_1_01_Left_MAH00163.MP4_0044687.jpg	      0		674	1724																					89.9
PCB3_1_01_Left_MAH00163.MP4_0044687.jpg	      0		941	1724													Relief	Low / moderate	Moderate (1-3m)	2			82003004		100.0
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		139	196																					100.0
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		406	196																					89.9
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		674	196													Relief	Low / moderate	Low (<1m)	1			82003003		89.9
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		941	196													Relief	Flat		0			82003001		100.0
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		139	578																					64.2
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		406	578																					46.9
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		674	578													Relief	Low / moderate	Low (<1m)	1			82003003		46.9
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		941	578													Relief	Flat		0			82003001		64.2
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		139	960																					46.5
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		406	960																					15.5
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		674	960													Relief	Low / moderate	Low (<1m)	1			82003003		15.5
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		941	960													Relief	Flat		0			82003001		46.5
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		139	1342																					64.2
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		406	1342																					46.9
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		674	1342													Relief	Low / moderate	Low (<1m)	1			82003003		46.9
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		941	1342													Relief	Low / moderate	Low (<1m)	1			82003003		64.2
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		139	1724																					100.0
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		406	1724																					89.9
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		674	1724													Relief	Low / moderate	Low (<1m)	1			82003003		89.9
PCB4_1_01_Left_MAH00184.MP4_0014140.jpg	      0		941	1724													Relief	Low / moderate	Moderate (1-3m)	2			82003004		100.0
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		139	196																					100.0
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		406	196																					89.9
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		674	196																					89.9
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		941	196													Relief	Low / moderate	Low (<1m)	1			82003003		100.0
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		139	578																					64.2
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		406	578																					46.9
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		674	578																					46.9
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		941	578													Relief	Low / moderate	Low (<1m)	1			82003003		64.2
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		139	960																					46.5
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		406	960																					15.5
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		674	960																					15.5
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		941	960													Relief	Low / moderate	Low (<1m)	1			82003003		46.5
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		139	1342																					64.2
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		406	1342																					46.9
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		674	1342																					46.9
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		941	1342													Relief	Low / moderate	Low (<1m)	1			82003003		64.2
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		139	1724																					100.0
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		406	1724																					89.9
PCB9_1_01_Left_MAH00153.MP4_0036140.jpg	      0		674	1724																					89.9
