Dot Point Measurements																									
																									
"Generated: Tuesday, December 05, 2017 15:33:46"																									
																									
Filename	Frame	Time (HMS)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	CATAMI_L1	CATAMI_L2	CATAMI_L3	CATAMI_L4	CATAMI_L5	CATAMI_L6	Description [Code]	CATAMI Sp Code	Radius %
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	136	193	12/01/2017	Butlers Point Autumn											Open Water			Open					100
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	405	193	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Open		80300902			89.8
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	675	193	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Limited		80300902			89.8
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	944	193	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Limited		80300902			100
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	136	576	12/01/2017	Butlers Point Autumn											Open Water			Open					64.3
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	405	576	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Open		80300902			46.9
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	675	576	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Limited		80300902			46.9
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	944	576	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Limited		80300902			64.3
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	136	960	12/01/2017	Butlers Point Autumn											Open Water			Open					46.6
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	405	960	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Open		80300902			15.5
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	675	960	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Limited		80300902			15.5
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	944	960	12/01/2017	Butlers Point Autumn											Macroalgae	Erect fine branching	Red	Limited	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope	90300910			46.6
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	136	1344	12/01/2017	Butlers Point Autumn											Open Water			Open					64.3
DeepReef_Butlers_06_09032015_404.avi	11471	39:26.8	405	1344	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Open		80300902			46.9
