campaignid,opcode,level_1,level_5,level_2,level_3,level_4,level_6,level_7,level_8,family,genus,species,caab_code,count
2021-05_Abrolhos_stereo-BRUVs,npz6.10,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,20
2021-05_Abrolhos_stereo-BRUVs,npz6.12,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,20
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,6
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,6
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,9
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,4
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,22
2021-05_Abrolhos_stereo-BRUVs,npz6.15,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,20
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,7
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,6
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,82003007,1
2021-05_Abrolhos_stereo-BRUVs,npz6.18,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,20
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,13
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,11
2021-05_Abrolhos_stereo-BRUVs,npz6.20,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,17
2021-05_Abrolhos_stereo-BRUVs,npz6.20,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,3
2021-05_Abrolhos_stereo-BRUVs,npz6.21,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,22
2021-05_Abrolhos_stereo-BRUVs,npz6.21,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,4
2021-05_Abrolhos_stereo-BRUVs,npz6.22,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,4
2021-05_Abrolhos_stereo-BRUVs,npz6.22,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,24
2021-05_Abrolhos_stereo-BRUVs,npz6.24,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,24
2021-05_Abrolhos_stereo-BRUVs,npz6.26,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,23
2021-05_Abrolhos_stereo-BRUVs,npz6.26,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,2
2021-05_Abrolhos_stereo-BRUVs,npz6.27,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,26
2021-05_Abrolhos_stereo-BRUVs,npz6.28,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,16
2021-05_Abrolhos_stereo-BRUVs,npz6.28,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,1
2021-05_Abrolhos_stereo-BRUVs,npz6.28,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,1
2021-05_Abrolhos_stereo-BRUVs,npz6.36,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,2
2021-05_Abrolhos_stereo-BRUVs,npz6.36,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,15
2021-05_Abrolhos_stereo-BRUVs,npz6.36,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,5
2021-05_Abrolhos_stereo-BRUVs,npz6.36,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,82003007,4
2021-05_Abrolhos_stereo-BRUVs,npz6.4,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,20
2021-05_Abrolhos_stereo-BRUVs,npz6.5,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,8
2021-05_Abrolhos_stereo-BRUVs,npz6.5,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,10
2021-05_Abrolhos_stereo-BRUVs,npz6.5,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,6
2021-05_Abrolhos_stereo-BRUVs,npz6.5,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,82003007,1
2021-05_Abrolhos_stereo-BRUVs,npz6.6,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,12
2021-05_Abrolhos_stereo-BRUVs,npz6.8,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,20
2021-05_Abrolhos_stereo-BRUVs,npz6.9,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,25
