Dot Point Measurements

Generated: Monday 26 May 2025 14:23:34

Filename	Frame	Time (mins)	Image row	Image col											campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers			Radius %
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		941	1724											2022-11_Investigator_stereo-BRUVs	Yes	CP2	1					Relief	Low / moderate	Moderate (1-3m)	2					100.0
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		139	196											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													100.0
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		406	196											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													89.9
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		674	196											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													89.9
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		941	196											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1					Relief	Low / moderate	Moderate (1-3m)	2					100.0
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		139	578											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													64.2
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		406	578											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													46.9
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		674	578											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													46.9
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		941	578											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1					Relief	Low / moderate	Moderate (1-3m)	2					64.2
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		139	960											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													46.5
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		406	960											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													15.5
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		674	960											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													15.5
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		941	960											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1					Relief	Low / moderate	Moderate (1-3m)	2					46.5
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		139	1342											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													64.2
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		406	1342											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													46.9
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		674	1342											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1					Relief	Low / moderate	Moderate (1-3m)	2					46.9
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		941	1342											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1					Relief	Low / moderate	Moderate (1-3m)	2					64.2
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		139	1724											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													100.0
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		406	1724											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1													89.9
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		674	1724											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1					Relief	Low / moderate	Moderate (1-3m)	2					89.9
CP3_1_01_Left_MAH00260.MP4_0053708.jpg	      0		941	1724											2022-11_Investigator_stereo-BRUVs	Yes	CP3	1					Relief	Low / moderate	Low (<1m)	1					100.0
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		139	196											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1													100.0
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		406	196											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1													89.9
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		674	196											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1					Relief	Low / moderate	Low (<1m)	1					89.9
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		941	196											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1					Relief	Low / moderate	Low (<1m)	1					100.0
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		139	578											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1													64.2
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		406	578											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1													46.9
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		674	578											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1					Relief	Low / moderate	Low (<1m)	1					46.9
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		941	578											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1					Relief	Low / moderate	Low (<1m)	1					64.2
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		139	960											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1													46.5
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		406	960											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1													15.5
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		674	960											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1					Relief	Low / moderate	Low (<1m)	1					15.5
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		941	960											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1					Relief	Low / moderate	Low (<1m)	1					46.5
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		139	1342											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1													64.2
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		406	1342											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1													46.9
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		674	1342											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1					Relief	Low / moderate	Low (<1m)	1					46.9
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		941	1342											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1					Relief	Low / moderate	Low (<1m)	1					64.2
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		139	1724											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1													100.0
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		406	1724											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1													89.9
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		674	1724											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1					Relief	Low / moderate	Low (<1m)	1					89.9
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		941	1724											2022-11_Investigator_stereo-BRUVs	Yes	CP4	1					Relief	Low / moderate	Low (<1m)	1					100.0
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		139	196											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1													100.0
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		406	196											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1													89.9
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		674	196											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1					Relief	Low / moderate	Low (<1m)	1					89.9
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		941	196											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1					Relief	Low / moderate	Low (<1m)	1					100.0
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		139	578											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1													64.2
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		406	578											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1													46.9
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		674	578											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1					Relief	Low / moderate	Moderate (1-3m)	2					46.9
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		941	578											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1					Relief	Low / moderate	Low (<1m)	1					64.2
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		139	960											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1													46.5
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		406	960											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1													15.5
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		674	960											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1					Relief	Low / moderate	Moderate (1-3m)	2					15.5
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		941	960											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1					Relief	Low / moderate	Low (<1m)	1					46.5
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		139	1342											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1													64.2
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		406	1342											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1													46.9
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		674	1342											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1					Relief	Low / moderate	Moderate (1-3m)	2					46.9
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		941	1342											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1					Relief	Low / moderate	Low (<1m)	1					64.2
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		139	1724											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1													100.0
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		406	1724											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1													89.9
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		674	1724											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1					Relief	Low / moderate	Moderate (1-3m)	2					89.9
INV-BV-02_1_01_Left_MAH00274.MP4_0022786.jpg	      0		941	1724											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-02	1					Relief	Low / moderate	Moderate (1-3m)	2					100.0
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		139	196											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													100.0
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		406	196											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													89.9
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		674	196											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1					Relief	Low / moderate	Moderate (1-3m)	2					89.9
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		941	196											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1					Relief	High	Wall	4					100.0
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		139	578											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													64.2
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		406	578											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													46.9
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		674	578											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													46.9
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		941	578											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1					Relief	High	High (>3m)	3					64.2
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		139	960											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													46.5
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		406	960											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													15.5
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		674	960											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													15.5
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		941	960											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1					Relief	High	High (>3m)	3					46.5
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		139	1342											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													64.2
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		406	1342											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													46.9
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		674	1342											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													46.9
