OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
NMP_20190803_MF-10_BRUV	7	MF-10_L528_MAH00158.MP4	40266	MF-10_R527_MAH00097.MP4	41824	11.19616	Time Seabed	6.95388	1327.25696	-76.26953	-3198.86231	8.21322	1.62998	19.94074	2.42476	3464.12300	22.56077	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	1	AD	Passing			
NMP_20190803_MF-10_BRUV	10	MF-10_L528_MAH00158.MP4	53827	MF-10_R527_MAH00097.MP4	55385	14.96687	Time Seabed	10.72458	-444.94563	-263.05629	-2127.09028	1.99546	1.49118	8.66064	0.12044	2188.99253	13.59368	Pinguipedidae	Parapercis	haackei	37390004	1	AD	Passing			
NMP_20190803_MF-10_BRUV	12	MF-10_L528_MAH00158.MP4	72210	MF-10_R527_MAH00097.MP4	73768	20.07835	Time Seabed	15.83607	44.22397	-152.97140	-1001.92307	0.51144	0.57797	1.98817	2.08747	1014.49783	8.90772	Labridae	Cheilinus	chlorourus	37384064	1	AD	Passing			
NMP_20190803_MF-10_BRUV	15	MF-10_L528_MAH00159.MP4	5697	MF-10_R527_MAH00098.MP4	7255	24.13990	Time Seabed	19.89762	-1207.22991	-115.77813	-2438.96554	5.40470	1.29070	11.44651	5.64460	2723.85050	26.42681	Mullidae	Parupeneus	barberinoides	37355021	1	AD	Passing			
NMP_20190803_MF-10_BRUV	16	MF-10_L528_MAH00159.MP4	7583	MF-10_R527_MAH00098.MP4	9141	24.66431	Time Seabed	20.42203	-2506.91490	-44.60218	-5523.35339	25.02720	2.68238	56.49189	50.78045	6065.80946	24.41359	Serranidae	Pseudanthias	cooperi	37311113	3	AD	Passing			
NMP_20190803_MF-10_BRUV	26	MF-10_L528_MAH00159.MP4	54693	MF-10_R527_MAH00098.MP4	56251	37.76348	Time Seabed	33.52120	549.40771	153.15062	-1264.05540	1.39559	0.71395	3.10027	37.31888	1386.77324	24.32000	Fistulariidae	Fistularia	commersonii	37278001	1	AD	Passing			
NMP_20190803_MF-10_BRUV	29	MF-10_L528_MAH00160.MP4	18553	MF-10_R527_MAH00099.MP4	20111	50.25399	Time Seabed	46.01171	-1437.76736	18.06601	-4409.42905	11.71831	2.11107	36.45703	16.62004	4637.94846	18.06279	Mullidae	Parupeneus	spilurus	37355015	1	AD	Passing			
NMP_20190803_MF-11_BRUV	3	MF-11_L528_MAH00163.MP4	57456	MF-11_R527_MAH00102.MP4	60201	15.97593	Time Seabed	13.16146	1542.71119	364.67082	-4515.99358	13.26809	3.75017	39.16003	7.95194	4786.14047	19.37215	Ephippidae	Platax	teira	37362004	1	AD	Passing			
NMP_20190803_MF-11_BRUV	12	MF-11_L528_MAH00164.MP4	8804	MF-11_R527_MAH00103.MP4	11204	25.00382	Time Seabed	22.18935	877.01709	-70.62188	2361.72085	10000.00000	10000.00000	10000.00000	0.00000	2520.29200	20.44345	Lethrinidae	Lethrinus	olivaceus	37351004	1	AD	Passing			
NMP_20190803_MF-11_BRUV	25	MF-11_L528_MAH00164.MP4	59429	MF-11_R527_MAH00103.MP4	62174	39.08035	Time Seabed	36.26588	2517.34385	445.73479	-5124.29138	26.39442	5.21353	53.67715	4.47526	5726.60997	26.53711	Albulidae	Albula	argentea	37055001	1	AD	Passing			
NMP_20190803_MF-12_BRUV	1	MF-12_L530_MAH00098.MP4	39559	MF-12_R529_MAH00099.MP4	37616	10.99958	Time Seabed	5.26747	-869.14750	-141.12229	-3241.15089	5.35571	1.82297	19.87301	0.19053	3358.62948	15.16037	Balistidae	Sufflamen	bursa	37465078	1	AD	Passing			
NMP_20190803_MF-12_BRUV	2	MF-12_L530_MAH00098.MP4	43696	MF-12_R529_MAH00099.MP4	41753	12.14989	Time Seabed	6.41779	1118.74475	-200.30233	-1824.95545	3.42176	1.08003	5.82913	7.81777	2149.92400	31.86995	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	2	AD	Passing			
NMP_20190803_MF-12_BRUV	18	MF-12_L530_MAH00099.MP4	65523	MF-12_R529_MAH00100.MP4	63580	40.77482	Time Seabed	35.04272	1403.48754	337.99341	-5222.14628	13.59121	3.93691	51.00561	0.12767	5418.00966	15.51395	Albulidae	Albula	argentea	37055001	18	AD	Passing			
NMP_20190803_MF-12_BRUV	25	MF-12_L530_MAH00100.MP4	34280	MF-12_R529_MAH00101.MP4	32337	54.62696	Time Seabed	48.89486	-2415.65236	-104.66547	-7616.73832	33.83298	4.14831	107.99648	2.23943	7991.30989	17.60276	Scaridae	Scarus	ghobban		1	AD	Passing			
NMP_20190803_MF-12_BRUV	29	MF-12_L530_MAH00100.MP4	73483	MF-12_R529_MAH00101.MP4	71540	65.52755	Time Seabed	59.79545	2246.29476	974.10993	-6171.47279	25.13205	11.08049	70.27196	4.57703	6639.41313	21.74136	Echeneidae	Echeneis	naucrates	37336001	1	AD	Passing			
NMP_20190803_MF-13_BRUV	2	MF-13_L1B_MAH00169.MP4	58780	MF-13_R4B_MAH00097.MP4	60508	16.34407	Time Seabed	9.06737	-2550.01699	-201.79945	-7937.52727	35.75505	4.64858	112.78190	12.19758	8339.52329	17.86805	Balistidae	Sufflamen	fraenatum	37465014	1	AD	Passing			
NMP_20190803_MF-13_BRUV	8	MF-13_L1B_MAH00170.MP4	36410	MF-13_R4B_MAH00098.MP4	38138	32.67980	Time Seabed	25.40310	730.94645	-225.04303	-1861.53178	2.57122	1.18259	6.49279	1.60456	2012.51774	22.35612	Labridae	Coris	caudimacula	37384092	1	AD	Passing			
NMP_20190803_MF-13_BRUV	13	MF-13_L1B_MAH00170.MP4	72141	MF-13_R4B_MAH00098.MP4	73869	42.61499	Time Seabed	35.33829	1161.66617	-57.96790	-1815.21390	3.49967	0.87598	5.58529	0.15730	2155.88267	32.65361	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	1	AD	Passing			
NMP_20190803_MF-13_BRUV	14	MF-13_L1B_MAH00170.MP4	72141	MF-13_R4B_MAH00098.MP4	73869	42.61499	Time Seabed	35.33829	1998.25855	207.73991	-3549.75398	12.20803	2.14455	22.25755	3.53919	4078.84131	29.50099	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	1	AD	Passing			
NMP_20190803_MF-13_BRUV	16	MF-13_L1B_MAH00170.MP4	72161	MF-13_R4B_MAH00098.MP4	73889	42.62055	Time Seabed	35.34385	1693.65685	-18.19502	-2984.43681	8.70403	1.42161	15.76097	2.67142	3431.56927	29.57701	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	1	AD	Passing			
NMP_20190803_MF-13_BRUV	20	MF-13_L1B_MAH00170.MP4	75652	MF-13_R4B_MAH00098.MP4	77380	43.59124	Time Seabed	36.31454	2280.31400	659.52368	-4345.23026	17.23235	5.50666	33.57644	16.63123	4951.34623	28.62792	Albulidae	Albula	argentea	37055001	1	AD	Passing			
NMP_20190803_MF-13_BRUV	28	MF-13_L1B_MAH00171.MP4	1781	MF-13_R4B_MAH00099.MP4	3509	45.59045	Time Seabed	38.31375	-1891.78762	489.78925	-7787.19324	26.41356	7.89802	109.58332	1.36011	8028.64449	14.06964	Lutjanidae	Symphorus	nematophorus	37346017	1	AD	Passing			
NMP_20190803_MF-14_BRUV	16	MF-14_L526_MAH00106.MP4	35681	MF-14_R525_MAH00099.MP4	33479	9.92128	Time Seabed	3.61305	219.39242	-244.75814	-6305.79736	3.95238	4.25903	74.72548	27.03107	6314.35823	2.92419	Pomacanthidae	Pomacanthus	imperator	37365014	1	AD	Passing			
NMP_20190803_MF-14_BRUV	17	MF-14_L526_MAH00106.MP4	36471	MF-14_R525_MAH00099.MP4	34269	10.14094	Time Seabed	3.83271	1240.16868	-49.90176	-7372.25766	17.25348	3.62948	102.07119	18.70353	7476.00773	9.55362	Pomacanthidae	Pomacanthus	imperator	37365014	1	AD	Passing			
NMP_20190803_MF-14_BRUV	34	MF-14_L526_MAH00106.MP4	48995	MF-14_R525_MAH00099.MP4	46793	13.62330	Time Seabed	7.31507	-110.98914	-23.05542	-6570.18058	3.41855	3.17505	81.04337	21.19177	6571.15843	0.97523	Scaridae	Scarus	ghobban		1	AD	Passing			
NMP_20190803_MF-14_BRUV	35	MF-14_L526_MAH00106.MP4	49207	MF-14_R525_MAH00099.MP4	47005	13.68225	Time Seabed	7.37402	1702.51538	106.58951	-6293.26044	19.90119	3.22067	74.26321	13.73717	6520.35635	15.17141	Scaridae	Scarus	ghobban		1	AD	Passing			
NMP_20190803_MF-14_BRUV	36	MF-14_L526_MAH00106.MP4	59862	MF-14_R525_MAH00099.MP4	57660	16.64493	Time Seabed	10.33669	-603.42796	351.24535	-1444.02481	1.66407	1.15381	3.88311	5.58125	1603.96579	25.84532	Serranidae	Pseudanthias	cooperi	37311113	250					
NMP_20190803_MF-14_BRUV	37	MF-14_L526_MAH00106.MP4	69931	MF-14_R525_MAH00099.MP4	67729	19.44466	Time Seabed	13.13643	-896.81011	-367.96362	-1943.08445	3.15028	1.60369	6.95851	19.13185	2171.46098	26.48305	Pinguipedidae	Parapercis	clathrata	37390013	1	AD	Passing			
NMP_20190803_MF-14_BRUV	38	MF-14_L526_MAH00106.MP4	74312	MF-14_R525_MAH00099.MP4	72110	20.66282	Time Seabed	14.35459	-2142.39497	633.63417	-4516.50612	17.01496	5.48545	36.82097	39.62627	5038.86654	26.34277	Caesionidae	Caesio	cuning	37346018	1	AD	Passing			
NMP_20190803_MF-14_BRUV	39	MF-14_L526_MAH00107.MP4	6505	MF-14_R525_MAH00100.MP4	4303	24.36457	Time Seabed	18.05634	64.72292	501.57176	-3965.17833	1.96160	4.14281	29.66887	2.15003	3997.29940	7.34860	Balistidae	Sufflamen	fraenatum	37465014	2	AD	Passing			
NMP_20190803_MF-14_BRUV	55	MF-14_L526_MAH00107.MP4	50048	MF-14_R525_MAH00100.MP4	47846	36.47192	Time Seabed	30.16368	-1226.38246	66.77133	-6429.90810	14.84986	3.15396	77.62918	3.19303	6546.15846	10.81869	Carcharhinidae	Carcharhinus	spp	37018904	1	AD	Passing			
NMP_20190803_MF-14_BRUV	61	MF-14_L526_MAH00107.MP4	50152	MF-14_R525_MAH00100.MP4	47950	36.50084	Time Seabed	30.19260	-674.80368	1255.30835	-3692.60769	4.84960	8.75097	25.57621	28.00569	3958.09431	21.17566	Carangidae	Carangoides	gymnostethus		1	AD	Passing			
NMP_20190803_MF-14_BRUV	64	MF-14_L526_MAH00107.MP4	50365	MF-14_R525_MAH00100.MP4	48163	36.56006	Time Seabed	30.25183	-1599.11052	1306.90339	-4112.98278	11.71729	9.82872	30.79386	34.70077	4602.36660	26.71350	Carangidae	Ulua	mentalis		1	AD	Passing			
NMP_20190803_MF-14_BRUV	68	MF-14_L526_MAH00107.MP4	51068	MF-14_R525_MAH00100.MP4	48866	36.75553	Time Seabed	30.44730	2850.29487	835.57018	-6818.12591	34.69275	10.66445	84.68148	2.23298	7437.01548	23.56270	Carangidae	Alepes	vari	37337067	1	AD	Passing			
NMP_20190803_MF-14_BRUV	71	MF-14_L526_MAH00107.MP4	51288	MF-14_R525_MAH00100.MP4	49086	36.81671	Time Seabed	30.50847	1295.89194	1431.30664	-4245.92224	9.98663	11.22032	33.28144	9.30644	4664.31455	24.51323	Carangidae	Alepes	vari	37337067	1	AD	Passing			
NMP_20190803_MF-14_BRUV	77	MF-14_L526_MAH00108.MP4	9909	MF-14_R525_MAH00101.MP4	7707	47.85048	Time Seabed	41.54225	-1192.70031	-109.28693	-5849.63669	13.14327	3.08758	64.31929	60.01943	5970.99046	11.56413	Serranidae	Cephalopholis	miniata	37311083	2	AD	Passing			
NMP_20190803_MF-14_BRUV	81	MF-14_L526_MAH00108.MP4	48799	MF-14_R525_MAH00101.MP4	46597	58.66404	Time Seabed	52.35581	-1173.57637	368.04160	-6226.81949	13.77950	5.12403	72.79730	33.25872	6347.12668	11.19779	Serranidae	Epinephelus	multinotatus		1	AD	Passing			
NMP_20190803_MF-15_BRUV	20	MF-15_L8_MAH00121.MP4	21164	MF-15_R07_MAH00156.MP4	23017	5.88476	MF-15	1.06022	1045.18781	611.77943	-1734.80947	3.06360	2.01647	5.24120	7.47348	2115.71631	34.73459	Carcharhinidae	Carcharhinus	albimarginatus	37018027	1	AD	Passing			
NMP_20190803_MF-15_BRUV	21	MF-15_L8_MAH00121.MP4	21991	MF-15_R07_MAH00156.MP4	23844	6.11471	MF-15	1.29018	-674.42372	-308.74032	-1503.97681	2.00640	1.13951	4.47076	36.60007	1676.93596	26.40651	Acanthuridae	Acanthurus	grammoptilus	37437002	1	AD	Passing			
NMP_20190803_MF-15_BRUV	22	MF-15_L8_MAH00121.MP4	23621	MF-15_R07_MAH00156.MP4	25474	6.56794	MF-15	1.74340	1295.95325	191.41163	-2185.89818	5.00229	1.31033	8.73350	0.86326	2548.38853	30.88259	Holocentridae	Myripristis	spp	37261901	1	AD	Passing			
NMP_20190803_MF-15_BRUV	23	MF-15_L8_MAH00121.MP4	23683	MF-15_R07_MAH00156.MP4	25536	6.58518	MF-15	1.76064	1123.23525	40.61783	-1960.56636	3.97270	0.95003	7.14826	11.29513	2259.89550	29.81391	Chaetodontidae	Chaetodon	auriga	37365019	2	AD	Passing			
NMP_20190803_MF-15_BRUV	24	MF-15_L8_MAH00121.MP4	23775	MF-15_R07_MAH00156.MP4	25628	6.61076	MF-15	1.78623	571.26513	-212.29587	-5185.04919	6.22525	3.10109	52.73975	40.46738	5220.74214	6.84023	Labridae	Hemigymnus	melapterus	37384125	1	AD	Passing			
NMP_20190803_MF-15_BRUV	27	MF-15_L8_MAH00121.MP4	26755	MF-15_R07_MAH00156.MP4	28608	7.43936	MF-15	2.61483	1352.72087	555.80730	-2488.95310	6.01606	2.83851	11.40661	30.01452	2886.80845	30.29969	Serranidae	Pseudanthias	cooperi	37311113	200	AD	Passing			
NMP_20190803_MF-15_BRUV	28	MF-15_L8_MAH00121.MP4	27901	MF-15_R07_MAH00156.MP4	29754	7.75801	MF-15	2.93348	419.97225	947.83040	-6365.24668	5.98747	12.62051	79.04293	30.74779	6449.11811	8.91591	Pomacanthidae	Pomacanthus	semicirculatus	37365080	2	AD	Passing			
NMP_20190803_MF-15_BRUV	29	MF-15_L8_MAH00121.MP4	29108	MF-15_R07_MAH00156.MP4	30961	8.09362	MF-15	3.26909	1547.93848	326.09606	-3358.45777	9.72572	2.73119	21.57129	40.10644	3712.36997	25.14824	Monacanthidae	Cantherhines	fronticinctus	37465041	1	AD	Passing			
NMP_20190803_MF-19_BRUV	5	MF-19_L532_MAH00087.MP4	50573	MF-19_R531_MAH00151.MP4	51911	14.06208	Time Seabed	3.49932	125.10405	-129.54700	-2271.67846	1.22209	1.22709	9.90576	3.36883	2278.80593	4.57666	Labridae	Pseudojuloides	severnsi	37384209	2	AD	Passing			
NMP_20190803_MF-19_BRUV	20	MF-19_L532_MAH00088.MP4	38984	MF-19_R531_MAH00152.MP4	40322	33.39552	Time Seabed	22.83276	-3331.25098	-309.23078	-9178.28685	55.47467	6.66985	155.08603	22.69326	9769.02279	20.03298	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
NMP_20190803_MF-19_BRUV	26	MF-19_L532_MAH00088.MP4	50542	MF-19_R531_MAH00152.MP4	51880	36.60928	Time Seabed	26.04652	-518.28191	-50.17455	-3802.19144	4.03058	1.85309	27.36259	10.31343	3837.68072	7.80415	Labridae	Cirrhilabrus	temminckii	37384085	1	AD	Passing			
NMP_20190803_MF-19_BRUV	27	MF-19_L532_MAH00088.MP4	50602	MF-19_R531_MAH00152.MP4	51940	36.62596	Time Seabed	26.06321	-548.59138	-61.74688	-2794.50973	3.08655	1.37857	14.86107	5.91473	2848.51713	11.18185	Labridae	Cirrhilabrus	temminckii	37384085	1	AD	Passing			
NMP_20190803_MF-19_BRUV	35	MF-19_L532_MAH00088.MP4	72011	MF-19_R531_MAH00152.MP4	73349	42.57884	Time Seabed	32.01609	-1164.86749	160.10753	-2602.34581	5.42322	1.44838	12.51911	3.64653	2855.65306	24.30670	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	1	AD	Passing			
NMP_20190803_MF-19_BRUV	38	MF-19_L532_MAH00088.MP4	72041	MF-19_R531_MAH00152.MP4	73379	42.58718	Time Seabed	32.02443	-405.99915	148.60971	-1824.88796	1.59159	1.01922	6.40007	4.62159	1875.40295	13.30771	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	1	AD	Passing			
NMP_20190803_MF-19_BRUV	42	MF-19_L532_MAH00089.MP4	13815	MF-19_R531_MAH00153.MP4	15093	48.93657	Time Seabed	38.37381	2892.81313	292.01192	-7001.89242	37.03522	5.11444	91.15949	29.87996	7581.56555	22.54449	Balistidae	Sufflamen	fraenatum	37465014	1	AD	Passing			
NMP_20190803_MF-19_BRUV	43	MF-19_L532_MAH00089.MP4	13815	MF-19_R531_MAH00153.MP4	15093	48.93657	Time Seabed	38.37381	2398.89956	58.55987	-5607.56672	24.54154	2.75261	58.53834	7.22785	6099.42234	23.16585	Balistidae	Sufflamen	fraenatum	37465014	1	AD	Passing			
NMP_20190803_MF-19_BRUV	44	MF-19_L532_MAH00089.MP4	42019	MF-19_R531_MAH00153.MP4	43297	56.77883	Time Seabed	46.21608	-909.48675	205.38416	-1950.50026	3.18417	1.17614	7.04007	2.18798	2161.89733	25.53567	Carangidae	Carangoides	gymnostethus		1	AD	Passing			
NMP_20190803_MF-19_BRUV	48	MF-19_L532_MAH00089.MP4	81039	MF-19_R531_MAH00154.MP4	1256	67.62854	Time Seabed	57.06578	-387.84476	-251.11144	-884.52549	0.72935	0.59439	1.46666	0.29907	997.93078	27.61376	Pinguipedidae	Parapercis	clathrata	37390013	1	AD	Passing			
NMP_20190803_MF-1_BRUV	1	MF-1_L524_MAH00172.MP4	57801	MF-1_R523_MAH00100.MP4	51979	16.07186	Time Seabed	6.30879	-1634.70601	678.15095	-3849.30174	11.26554	5.08322	27.24892	1.63544	4236.65863	24.68265	Carangidae	Carangoides	fulvoguttatus		1	AD	Passing			
NMP_20190803_MF-1_BRUV	9	MF-1_L524_MAH00174.MP4	45919	MF-1_R523_MAH00102.MP4	40396	58.01312	Time Seabed	48.25005	1415.20499	1924.38014	-6185.05095	16.25293	22.27639	71.29721	19.15905	6630.30160	21.09848	Scombridae		spp		1	AD	Passing			
NMP_20190803_MF-20_BRUV	0	MF-20_L524_MAH00177.MP4	42054	MF-20_R523_MAH00105.MP4	40828	11.69332	Time Seabed	3.51378	-695.89257	-70.20104	-1229.61649	1.54568	0.60934	2.77096	4.59212	1414.62057	29.63420	Balistidae	Abalistes	stellatus	37465011	1	AD	Passing			
NMP_20190803_MF-20_BRUV	5	MF-20_L524_MAH00179.MP4	31639	MF-20_R523_MAH00107.MP4	30413	53.89262	Time Seabed	45.71308	1164.47847	-18.76146	-1970.20605	3.95598	0.93473	6.94950	3.10691	2288.68390	30.58859	Scombridae		spp		1	AD	Passing			
NMP_20190803_MF-21_BRUV	2	MF-21_L524_MAH00181.MP4	24878	MF-21_R523_MAH00111.MP4	27147	6.91745	Time Seabed	1.71560	442.79639	-533.47868	-1615.98451	1.50589	1.80697	5.02303	5.54044	1758.42943	23.23847	Labridae	Coris	caudimacula	37384092	1	AD	Passing			
NMP_20190803_MF-21_BRUV	7	MF-21_L524_MAH00181.MP4	38492	MF-21_R523_MAH00111.MP4	40761	10.70289	Time Seabed	5.50104	1520.69154	-716.30352	-3044.16830	8.17719	4.17061	16.89523	12.02169	3477.43499	28.91676	Fistulariidae	Fistularia	commersonii	37278001	1	AD	Passing			
NMP_20190803_MF-21_BRUV	8	MF-21_L524_MAH00181.MP4	75088	MF-21_R523_MAH00111.MP4	77357	20.87859	Time Seabed	15.67674	-796.62071	-217.06576	-1566.63744	2.26222	0.97239	4.55652	0.58445	1770.89665	27.79665	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	5	AD	Passing			
NMP_20190803_MF-21_BRUV	9	MF-21_L524_MAH00181.MP4	75187	MF-21_R523_MAH00111.MP4	77456	20.90612	Time Seabed	15.70427	-1520.35379	-319.59010	-3166.17092	8.54418	2.36480	18.39414	0.70151	3526.79057	26.14109	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	1	AD	Passing			
NMP_20190803_MF-21_BRUV	14	MF-21_L524_MAH00181.MP4	76431	MF-21_R523_MAH00111.MP4	78700	21.25202	Time Seabed	16.05017	175.83415	96.72607	-1451.46199	0.84950	0.75446	4.08524	1.63994	1465.26977	7.86084	Lethrinidae	Lethrinus	spp	37351902	2	AD	Passing			
NMP_20190803_MF-21_BRUV	32	MF-21_L524_MAH00181.MP4	77329	MF-21_R523_MAH00111.MP4	79598	21.50172	Time Seabed	16.29986	-76.76324	-401.64179	-1633.19144	0.83450	1.47815	5.15940	0.67537	1683.60417	14.07921	Mullidae	Parupeneus	barberinoides	37355021	5	AD	Passing			
NMP_20190803_MF-21_BRUV	43	MF-21_L524_MAH00182.MP4	58654	MF-21_R523_MAH00112.MP4	60923	38.86486	Time Seabed	33.66301	2173.79056	-1273.67755	-6031.44563	24.05818	14.48785	67.81580	0.46885	6536.50949	22.68290	Balistidae	Sufflamen	fraenatum	37465014	1	AD	Passing			
NMP_20190803_MF-22_BRUV	0	MF-22_L532_MAH00093.MP4	16479	MF-22_R531_MAH00157.MP4	14017	4.58207	Time Seabed	1.84823	-774.83489	-373.70751	-1401.35607	1.87377	1.12249	3.47713	10.18345	1644.33124	31.57087	Labridae	Coris	caudimacula	37384092	1	AD	Passing			
NMP_20190803_MF-22_BRUV	51	MF-22_L532_MAH00094.MP4	38395	MF-22_R531_MAH00158.MP4	35933	33.23174	Time Seabed	30.49791	49.85024	-117.48224	-2068.60010	1.02641	1.09858	8.22932	1.65007	2072.53311	3.58634	Mullidae	Parupeneus	cyclostomus	37355025	2	AD	Passing			
NMP_20190803_MF-22_BRUV	58	MF-22_L532_MAH00094.MP4	50481	MF-22_R531_MAH00158.MP4	48019	36.59232	Time Seabed	33.85848	-485.13311	980.42334	-6980.87471	7.03549	13.29459	91.43207	29.45027	7066.05942	8.85129	Scombridae		spp		1	AD	Passing			
NMP_20190803_MF-22_BRUV	66	MF-22_L532_MAH00094.MP4	60831	MF-22_R531_MAH00158.MP4	58369	39.47019	Time Seabed	36.73635	319.51489	325.05953	-4187.24330	3.19231	3.27833	33.21174	8.56826	4211.97815	6.16927	Carangidae	Alepes	vari	37337067	31	AD	Passing			
NMP_20190803_MF-22_BRUV	91	MF-22_L532_MAH00094.MP4	63819	MF-22_R531_MAH00158.MP4	61357	40.30101	Time Seabed	37.56718	-373.16888	-230.59119	-950.15786	0.77163	0.61938	1.72553	0.06103	1046.53107	24.81363	Lethrinidae	Lethrinus	rubrioperculatus	37351012	2	AD	Passing			
NMP_20190803_MF-22_BRUV	97	MF-22_L532_MAH00095.MP4	808	MF-22_R531_MAH00158.MP4	79407	45.31991	Time Seabed	42.58607	-1237.06302	279.32462	-3682.72479	8.37325	2.59865	25.38860	6.69742	3894.97228	18.98869	Chaetodontidae	Chaetodon	auriga	37365019	2	AD	Passing			
NMP_20190803_MF-22_BRUV	98	MF-22_L532_MAH00095.MP4	4426	MF-22_R531_MAH00159.MP4	1964	46.32591	Time Seabed	43.59207	-215.84188	585.93216	-2751.88050	1.69817	3.31354	14.38699	5.54597	2821.83460	12.72741	Caesionidae	Pterocaesio	spp	37346926	14	AD	Passing			
NMP_20190803_MF-22_BRUV	102	MF-22_L532_MAH00095.MP4	4736	MF-22_R531_MAH00159.MP4	2274	46.41211	Time Seabed	43.67827	47.75106	710.50181	-3219.00209	1.57598	4.58125	19.65031	4.23049	3296.82687	12.41343	Caesionidae	Pterocaesio	spp	37346926	1	AD	Passing			
NMP_20190803_MF-22_BRUV	109	MF-22_L532_MAH00095.MP4	19983	MF-22_R531_MAH00159.MP4	17521	50.65161	Time Seabed	47.91777	145.41627	913.61892	-4363.13063	2.40331	7.79212	35.94049	1.26073	4460.12940	11.91121	Carangidae	Atule	mate	37337024	2	AD	Passing			
NMP_20190803_MF-22_BRUV	112	MF-22_L532_MAH00095.MP4	23809	MF-22_R531_MAH00159.MP4	21347	51.71545	Time Seabed	48.98161	136.29704	909.83468	-3250.94876	1.76729	5.78243	20.02459	11.59545	3378.61568	15.74094	Carangidae	Elagatis	bipinnulata	37337029	1	AD	Passing			
NMP_20190803_MF-22_BRUV	118	MF-22_L532_MAH00095.MP4	35249	MF-22_R531_MAH00159.MP4	32787	54.89640	Time Seabed	52.16256	19.98465	-27.75090	-1297.59252	0.64513	0.63606	3.29296	6.14730	1298.04308	1.55936	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing			
NMP_20190803_MF-22_BRUV	128	MF-22_L532_MAH00095.MP4	36119	MF-22_R531_MAH00159.MP4	33657	55.13831	Time Seabed	52.40447	555.17545	304.33637	-1571.15565	1.74165	1.18598	4.75460	44.75238	1693.92163	21.91854	Acanthuridae	Acanthurus	mata	37437011	3	AD	Passing			
NMP_20190803_MF-23_BRUV	10	MF-23_L2_MAH00084.MP4	30946	MF-23_R03_MAH00098.MP4	32157	31.16051	Time Seabed	28.56487	344.33034	416.19836	-4643.51708	3.78335	4.46339	41.85471	6.74196	4674.82998	6.49423	Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	AD	Passing			
NMP_20190803_MF-23_BRUV	12	MF-23_L2_MAH00084.MP4	31381	MF-23_R03_MAH00098.MP4	32592	31.28147	Time Seabed	28.68582	-1495.20407	40.97149	-4048.79379	11.27733	1.96838	30.97089	0.64191	4316.25359	20.27174	Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	AD	Passing			
NMP_20190803_MF-23_BRUV	18	MF-23_L2_MAH00084.MP4	45719	MF-23_R03_MAH00098.MP4	46930	35.26822	Time Seabed	32.67257	-2473.45810	351.83053	-6285.79081	28.52681	5.25222	73.58220	4.76045	6764.09239	21.65064	Fistulariidae	Fistularia	commersonii	37278001	1	AD	Passing			
NMP_20190803_MF-23_BRUV	20	MF-23_L2_MAH00084.MP4	53329	MF-23_R03_MAH00098.MP4	54540	37.38422	Time Seabed	34.78857	1016.96913	-161.83299	-1901.41872	3.54401	1.06196	6.75617	2.54918	2162.36197	28.46849	Lethrinidae	Gymnocranius	spp	37351901	1	AD	Passing			
NMP_20190803_MF-24_BRUV	8	MF-24_L6_MAH00165.MP4	67332	MF-24_R05_MAH00096.MP4	64940	41.27782	Time Seabed	37.53214	-920.97995	-99.40162	-1693.22217	2.81622	0.86291	5.25841	0.72496	1930.04820	28.66982	Pomacanthidae	Pomacanthus	sexstriatus	37365010	2	AD	Passing			
NMP_20190803_MF-24_BRUV	10	MF-24_L6_MAH00165.MP4	72287	MF-24_R05_MAH00096.MP4	69895	42.65558	Time Seabed	38.90990	324.17236	716.67349	-3276.91120	2.57056	4.79675	21.08346	28.32351	3369.99342	13.60484	Carangidae	Decapterus	macarellus	37337055	5	AD	Passing			
NMP_20190803_MF-24_BRUV	12	MF-24_L6_MAH00165.MP4	72972	MF-24_R05_MAH00096.MP4	70580	42.84605	Time Seabed	39.10037	2948.91605	1103.61900	-7204.84079	39.95958	15.23941	98.80288	7.84075	7862.81194	23.64772	Carangidae	Elagatis	bipinnulata	37337029	1	AD	Passing			
NMP_20190803_MF-25_BRUV	20	MF-25_L10_MAH00013.MP4	51206	MF-25_R9_MAH00165.MP4	52178	59.33332	Time Seabed	56.78384	-3631.41620	1933.82664	-7236.40022	46.67991	25.65841	94.37826	9.58984	8324.20309	29.52849	Scombridae		spp		1	AD	Passing			
